epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.4409,0.38,0.8724,8.4659
2,0.0004,0.353,0.3458,0.8869,7.4584
3,0.0008,0.3361,0.316,0.8955,7.3739
4,0.001,0.3171,0.3175,0.8991,9.2701
5,0.001,0.3059,0.3103,0.9061,7.2685
6,0.001,0.298,0.3122,0.9048,7.2037
7,0.001,0.2914,0.2985,0.9104,7.1486
8,0.001,0.2912,0.3002,0.9122,7.5338
9,0.001,0.2836,0.3075,0.912,8.3198
10,0.001,0.2783,0.2878,0.913,8.2656
11,0.0009,0.2767,0.2891,0.9149,8.7442
12,0.0009,0.2731,0.2892,0.917,9.434
13,0.0009,0.2691,0.2943,0.9164,8.5403
14,0.0009,0.2651,0.2823,0.919,8.6095
15,0.0009,0.2634,0.2986,0.9182,9.1363
16,0.0008,0.2628,0.2855,0.9205,8.4902
17,0.0008,0.26,0.2925,0.9195,8.1879
18,0.0008,0.2575,0.2852,0.9208,8.1933
19,0.0008,0.2539,0.2852,0.9205,8.114
20,0.0007,0.2525,0.285,0.9198,8.0772
21,0.0007,0.2517,0.288,0.9202,8.1902
22,0.0007,0.249,0.2866,0.923,8.1473
23,0.0006,0.2444,0.2836,0.9213,8.1726
24,0.0006,0.2439,0.2806,0.9222,8.2092
25,0.0006,0.2417,0.2945,0.9224,8.1883
26,0.0005,0.2383,0.2773,0.9237,8.0547
27,0.0005,0.2355,0.2877,0.9221,7.7815
28,0.0005,0.234,0.301,0.9233,7.2445
29,0.0004,0.2288,0.2802,0.9208,7.1713
30,0.0004,0.2253,0.2872,0.9228,7.1641
31,0.0004,0.2259,0.2863,0.9244,7.2621
32,0.0003,0.2204,0.2911,0.923,7.109
33,0.0003,0.2184,0.2875,0.9248,7.0311
34,0.0003,0.2147,0.2843,0.9225,7.0652
35,0.0003,0.2114,0.3006,0.9236,7.2742
36,0.0002,0.2081,0.2888,0.9241,7.1835
37,0.0002,0.2052,0.2931,0.9223,7.2282
38,0.0002,0.2009,0.2933,0.9232,7.1969
39,0.0001,0.2005,0.3069,0.9232,7.2285
40,0.0001,0.1959,0.2977,0.9232,7.1832
41,0.0001,0.1936,0.2951,0.9235,7.1999
42,0.0001,0.1914,0.2961,0.9227,7.2559
43,0.0001,0.1874,0.2982,0.9226,7.2316
