epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.001,0.4155,0.3554,0.8774,8.6525
2,0.001,0.3295,0.3246,0.8887,6.9943
3,0.001,0.3084,0.3125,0.8962,7.0562
4,0.001,0.2964,0.302,0.9017,7.114
5,0.001,0.2826,0.3047,0.9028,7.074
6,0.001,0.276,0.3019,0.9047,7.1236
7,0.001,0.2684,0.3019,0.9084,7.1504
8,0.001,0.2642,0.2977,0.91,7.1717
9,0.001,0.2574,0.3052,0.9084,7.1677
10,0.001,0.2508,0.2953,0.908,7.1613
11,0.001,0.2458,0.294,0.9113,7.1775
12,0.001,0.243,0.2989,0.9139,7.1958
13,0.001,0.2371,0.29,0.9124,7.1901
14,0.001,0.23,0.2937,0.9099,7.1881
15,0.001,0.2251,0.3083,0.9111,7.2046
16,0.001,0.2204,0.2959,0.9137,7.1668
17,0.001,0.2121,0.3114,0.9072,7.1645
18,0.001,0.207,0.3054,0.9086,7.1729
19,0.001,0.1987,0.3155,0.9095,7.1605
20,0.001,0.1924,0.3237,0.907,7.2099
21,0.001,0.1879,0.3252,0.9039,7.2361
22,0.001,0.1795,0.324,0.9044,7.2225
