epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.4618,0.3721,0.865,2.9101
2,0.0004,0.3516,0.335,0.8831,2.3798
3,0.0008,0.3323,0.3195,0.8911,2.4313
4,0.001,0.3115,0.3235,0.8954,2.3548
5,0.001,0.3003,0.3132,0.9035,2.3683
6,0.001,0.2899,0.3084,0.9057,2.3574
7,0.001,0.2852,0.3067,0.9058,2.3952
8,0.001,0.2835,0.3068,0.9099,2.3752
9,0.001,0.2757,0.2997,0.9096,2.3896
10,0.001,0.2707,0.2914,0.9098,2.3744
11,0.0009,0.2674,0.2946,0.9135,2.3824
12,0.0009,0.2658,0.2985,0.9131,2.3668
13,0.0009,0.2622,0.2891,0.9151,2.3792
14,0.0009,0.2572,0.2913,0.9143,2.3848
15,0.0009,0.2543,0.3052,0.914,2.3987
16,0.0008,0.2533,0.2879,0.9152,2.4135
17,0.0008,0.2483,0.2961,0.918,2.3934
18,0.0008,0.248,0.2946,0.9164,2.4114
19,0.0008,0.2445,0.2873,0.9193,2.3831
20,0.0007,0.2414,0.2954,0.9164,2.3892
21,0.0007,0.2399,0.297,0.9172,2.4116
22,0.0007,0.2345,0.2942,0.9183,2.3903
23,0.0006,0.2312,0.2937,0.9174,2.3935
24,0.0006,0.2278,0.2935,0.9192,2.3735
25,0.0006,0.2254,0.3047,0.9179,2.4089
26,0.0005,0.2226,0.2901,0.9204,2.4225
27,0.0005,0.2178,0.298,0.919,2.4025
28,0.0005,0.2151,0.3102,0.917,2.4037
29,0.0004,0.211,0.2998,0.9181,2.4338
30,0.0004,0.2083,0.3003,0.9184,2.4778
31,0.0004,0.2044,0.3019,0.9185,2.4343
32,0.0003,0.2009,0.3067,0.9187,2.4662
33,0.0003,0.1957,0.3156,0.9163,2.5038
34,0.0003,0.1919,0.3112,0.9161,2.3642
35,0.0003,0.1869,0.3213,0.9166,2.5203
36,0.0002,0.1833,0.3201,0.9154,2.4328
