epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.7801,1.0386,0.6193,5.5044
2,0.02,0.7063,0.6532,0.7208,5.2671
3,0.03,0.7227,0.6826,0.7493,5.9959
4,0.0298,0.7695,0.8407,0.7632,5.6569
5,0.0294,0.7393,0.7887,0.7869,5.4678
6,0.0289,0.6992,0.5847,0.7951,5.3424
7,0.0282,0.6618,0.6573,0.8051,6.011
8,0.0273,0.6508,0.6034,0.7986,6.0522
9,0.0263,0.6478,0.5545,0.8097,5.997
10,0.0252,0.6265,0.5835,0.8071,6.1854
11,0.0239,0.6022,0.5925,0.8122,6.1524
12,0.0225,0.5862,0.5955,0.8196,6.4202
13,0.021,0.5638,0.5215,0.8186,6.0344
14,0.0195,0.5545,0.5306,0.8189,5.8819
15,0.0179,0.5328,0.5413,0.8189,5.7961
16,0.0162,0.5221,0.5571,0.8178,6.2315
17,0.0146,0.5164,0.5637,0.8218,6.1611
18,0.0129,0.5131,0.5028,0.8263,5.9871
19,0.0113,0.5055,0.522,0.8281,5.9378
20,0.0097,0.5016,0.5327,0.8295,6.1999
21,0.0082,0.4951,0.5102,0.8305,6.2634
22,0.0068,0.4838,0.5336,0.8306,5.8584
23,0.0055,0.4829,0.5048,0.8313,5.9957
24,0.0042,0.4856,0.5455,0.8306,7.2486
25,0.0032,0.4807,0.529,0.8317,6.1317
26,0.0022,0.4739,0.528,0.8325,5.9998
27,0.0014,0.4767,0.5151,0.833,6.2345
28,0.0008,0.4741,0.5247,0.8332,6.2108
29,0.0004,0.4811,0.5235,0.8333,6.3442
30,0.0001,0.4878,0.5215,0.8333,5.6035
