epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.6035,0.5361,0.6877,2.4016
2,0.02,0.5266,0.4747,0.7408,2.052
3,0.03,0.4696,0.4585,0.7728,2.0827
4,0.0298,0.4374,0.4499,0.7909,2.116
5,0.0294,0.406,0.4178,0.8195,1.9635
6,0.0289,0.3846,0.3846,0.8449,2.0678
7,0.0282,0.3686,0.3742,0.8578,2.0764
8,0.0273,0.3549,0.3542,0.8642,2.054
9,0.0263,0.3412,0.35,0.8683,2.0117
10,0.0252,0.3319,0.3512,0.8708,1.9916
11,0.0239,0.3244,0.341,0.8765,2.0628
12,0.0225,0.3244,0.3669,0.8762,2.0398
13,0.021,0.3268,0.3515,0.8804,2.0299
14,0.0195,0.3143,0.3518,0.8804,2.1933
15,0.0179,0.3072,0.3319,0.8859,2.029
16,0.0162,0.3023,0.3445,0.8854,2.0577
17,0.0146,0.2964,0.322,0.8908,2.0669
18,0.0129,0.2937,0.3203,0.8934,2.0779
19,0.0113,0.2888,0.3136,0.8936,2.0923
20,0.0097,0.2849,0.3158,0.8967,2.0603
21,0.0082,0.2838,0.3131,0.8975,2.0937
22,0.0068,0.2804,0.3176,0.8969,2.1033
23,0.0055,0.2768,0.3074,0.9002,2.0879
24,0.0042,0.275,0.3097,0.9009,2.2182
25,0.0032,0.2719,0.304,0.9026,2.0773
26,0.0022,0.2709,0.3048,0.904,2.0925
27,0.0014,0.269,0.3031,0.9043,2.0738
28,0.0008,0.267,0.3042,0.9046,2.0176
29,0.0004,0.2672,0.3024,0.9049,2.0404
30,0.0001,0.2661,0.3028,0.9049,2.0592
