phase,run,setting,algorithm,partition,n_clients,macro_auroc,macro_f1,auroc_NORM,auroc_MI,auroc_STTC,auroc_CD,auroc_HYP,best_step,steps_run,communication_mb,epsilon,seconds
3,centralized,Centralized,centralized,none,1,0.9168,0.7219,0.9432,0.9264,0.939,0.929,0.8466,33,43,0.0,,349.5
3,centralized_ensemble,"Centralized, ensemble of 3 seeds",centralized,none,1,0.9215,0.7312,0.9472,0.9339,0.9411,0.9332,0.852,33,43,0.0,,915.4
3,centralized_plain,"Centralized, first recipe (full-length, constant LR)",centralized,none,1,0.909,0.7193,0.9374,0.916,0.9341,0.9237,0.8336,12,22,0.0,,161.5
3,centralized_untuned,"Centralized, before tuning (32 channels, crops only)",centralized,none,1,0.9156,0.7296,0.9436,0.9222,0.936,0.9264,0.8496,26,36,0.0,,95.8
4,fedavg_iid_10,"FedAvg, IID, 10 hospitals",fedavg,iid,10,0.9013,0.711,0.9358,0.9084,0.933,0.913,0.8164,49,50,6281.6,,382.3
4,fedavg_iid_20,"FedAvg, IID, 20 hospitals",fedavg,iid,20,0.8907,0.6887,0.9292,0.8835,0.9285,0.8994,0.8128,50,50,12563.2,,403.3
4,fedavg_iid_5,"FedAvg, IID, 5 hospitals",fedavg,iid,5,0.9095,0.7206,0.9404,0.92,0.937,0.9223,0.8278,46,50,3140.8,,378.3
5,fedavg_device,"FedAvg, by device",fedavg,device,8,0.911,0.7181,0.9401,0.9229,0.9363,0.9227,0.8333,50,50,5025.3,,385.7
5,fedavg_dirichlet,"FedAvg, label skew (alpha 0.3)",fedavg,dirichlet,10,0.8844,0.68,0.928,0.8826,0.9246,0.8867,0.8001,44,50,6281.6,,387.9
5,fedavg_site,"FedAvg, by site",fedavg,site,4,0.9131,0.7268,0.9434,0.9241,0.9353,0.924,0.8386,43,50,2512.6,,382.5
5,fedprox_device,"FedProx, by device",fedprox,device,8,0.9078,0.7233,0.9389,0.9186,0.9337,0.9195,0.8284,50,50,5025.3,,401.9
5,fedprox_dirichlet,"FedProx, label skew (alpha 0.3)",fedprox,dirichlet,10,0.8807,0.6759,0.9239,0.8746,0.9212,0.8807,0.8029,44,50,6281.6,,402.7
5,fedprox_site,"FedProx, by site",fedprox,site,4,0.9094,0.7186,0.9395,0.9215,0.9344,0.92,0.8317,48,50,2512.6,,398.0
6,dp_eps1,"Centralized, DP, epsilon 1",centralized,none,1,0.8319,0.6061,0.9041,0.8033,0.8755,0.8066,0.7697,30,30,0.0,0.984,188.8
6,dp_eps3,"Centralized, DP, epsilon 3",centralized,none,1,0.8627,0.6511,0.9213,0.8496,0.9024,0.8585,0.7819,25,30,0.0,2.962,299.1
6,dp_eps8,"Centralized, DP, epsilon 8",centralized,none,1,0.8737,0.6651,0.9246,0.871,0.9111,0.8714,0.7905,27,30,0.0,7.916,247.6
6,dp_none,"Centralized, DP recipe, no privacy",centralized,none,1,0.898,0.7025,0.9332,0.9103,0.9291,0.9032,0.8142,29,30,0.0,,70.2
6,fed_dp_eps1,"FedAvg, 5 hospitals, DP, epsilon 1",fedavg,iid,5,0.7554,0.5249,0.8565,0.793,0.6918,0.7781,0.6575,30,30,476.2,0.971,175.7
6,fed_dp_eps3,"FedAvg, 5 hospitals, DP, epsilon 3",fedavg,iid,5,0.8207,0.5861,0.9088,0.7834,0.8479,0.8018,0.7616,28,30,476.2,2.914,176.6
6,fed_dp_eps8,"FedAvg, 5 hospitals, DP, epsilon 8",fedavg,iid,5,0.84,0.6161,0.9136,0.8032,0.8928,0.8198,0.7707,29,30,476.2,7.775,188.1
6,fed_dp_none,"FedAvg, 5 hospitals, DP recipe, no privacy",fedavg,iid,5,0.867,0.6594,0.9248,0.854,0.9105,0.8683,0.7776,30,30,476.2,,73.1
