round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.003333,5,0.689999,0.873784,0.552991,15.87348,7.294116
2,0.01,5,0.715246,0.896637,0.53025,31.74696,6.091923
3,0.00997,5,0.71305,0.707905,0.570172,47.62044,5.529856
4,0.009879,5,0.704698,0.770849,0.569293,63.49392,5.462888
5,0.009729,5,0.701363,0.778661,0.611511,79.3674,5.377067
6,0.009522,5,0.705362,0.631354,0.617419,95.24088,5.725271
7,0.00926,5,0.719522,0.735634,0.595478,111.11436,5.313363
8,0.008946,5,0.715421,0.634697,0.651391,126.98784,5.5605
9,0.008584,5,0.711985,0.779946,0.656449,142.86132,5.411272
10,0.008179,5,0.716941,0.764413,0.683417,158.7348,5.375724
11,0.007735,5,0.691684,0.80105,0.684688,174.60828,5.359624
12,0.007258,5,0.702699,0.825456,0.694576,190.48176,5.443319
13,0.006753,5,0.683193,0.808944,0.70232,206.35524,5.485719
14,0.006227,5,0.66719,0.790383,0.71276,222.22872,5.652239
15,0.005687,5,0.651507,0.77792,0.718,238.1022,5.351199
16,0.005138,5,0.64724,0.762263,0.720288,253.97568,5.466395
17,0.004587,5,0.645991,0.78372,0.725601,269.84916,5.394977
18,0.004041,5,0.63463,0.770552,0.732257,285.72264,5.447464
19,0.003507,5,0.625665,0.724276,0.736794,301.59612,5.599273
20,0.002992,5,0.612516,0.681595,0.745052,317.4696,5.465035
21,0.0025,5,0.600754,0.716167,0.746006,333.34308,5.433893
22,0.002039,5,0.608249,0.691915,0.750464,349.21656,5.293413
23,0.001614,5,0.600516,0.669737,0.752365,365.09004,5.293468
24,0.001229,5,0.600072,0.689202,0.754025,380.96352,5.292728
25,0.000891,5,0.600465,0.68047,0.756251,396.837,5.473258
26,0.000603,5,0.597541,0.675629,0.757235,412.71048,5.491881
27,0.000368,5,0.594759,0.666466,0.758067,428.58396,5.296698
28,0.000189,5,0.594415,0.663639,0.758372,444.45744,5.418992
29,6.8e-05,5,0.594832,0.664025,0.758522,460.33092,5.34306
30,8e-06,5,0.592931,0.663989,0.758535,476.2044,5.432761
