round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.003333,5,0.640275,0.549834,0.611265,15.87348,2.847895
2,0.01,5,0.639465,0.563619,0.672472,31.74696,2.144075
3,0.00997,5,0.564823,0.506443,0.725564,47.62044,2.145688
4,0.009879,5,0.576511,0.536968,0.722678,63.49392,2.14571
5,0.009729,5,0.502398,0.433643,0.783624,79.3674,2.147378
6,0.009522,5,0.520166,0.449289,0.777247,95.24088,2.147583
7,0.00926,5,0.46478,0.424958,0.793886,111.11436,2.143649
8,0.008946,5,0.474318,0.430284,0.797843,126.98784,2.249646
9,0.008584,5,0.439367,0.417735,0.799478,142.86132,2.150477
10,0.008179,5,0.442481,0.4147,0.802565,158.7348,2.153426
11,0.007735,5,0.430681,0.408889,0.814302,174.60828,2.154022
12,0.007258,5,0.405735,0.390187,0.834472,190.48176,2.147835
13,0.006753,5,0.405778,0.392809,0.8376,206.35524,2.144309
14,0.006227,5,0.391078,0.384179,0.841664,222.22872,2.144839
15,0.005687,5,0.385007,0.386414,0.843688,238.1022,2.145948
16,0.005138,5,0.380771,0.372932,0.848088,253.97568,2.144683
17,0.004587,5,0.370249,0.369021,0.850515,269.84916,2.153477
18,0.004041,5,0.363119,0.357828,0.854748,285.72264,2.145828
19,0.003507,5,0.35941,0.359017,0.856588,301.59612,2.291221
20,0.002992,5,0.35517,0.354807,0.858004,317.4696,2.154201
21,0.0025,5,0.350901,0.351771,0.860034,333.34308,2.109997
22,0.002039,5,0.34571,0.351039,0.861612,349.21656,2.131074
23,0.001614,5,0.340925,0.347404,0.863112,365.09004,2.163749
24,0.001229,5,0.339321,0.3527,0.863617,380.96352,2.160488
25,0.000891,5,0.337511,0.346186,0.865178,396.837,2.152469
26,0.000603,5,0.33434,0.348345,0.865866,412.71048,2.154933
27,0.000368,5,0.332813,0.346121,0.865998,428.58396,2.154797
28,0.000189,5,0.332505,0.347785,0.86599,444.45744,2.154899
29,6.8e-05,5,0.33066,0.34671,0.866076,460.33092,2.149734
30,8e-06,5,0.331788,0.346663,0.866086,476.2044,2.248012
