round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,8,0.514058,0.493209,0.77604,25.397568,4.707238
2,0.0006,8,0.449847,0.416295,0.836075,50.795136,2.697755
3,0.001,8,0.418166,0.463382,0.84467,76.192704,2.548671
4,0.000999,8,0.37817,0.382556,0.862724,101.590272,2.540171
5,0.000996,8,0.360694,0.357659,0.874119,126.98784,2.579905
6,0.00099,8,0.352265,0.349015,0.8786,152.385408,2.56628
7,0.000983,8,0.341467,0.341689,0.881555,177.782976,2.615668
8,0.000973,8,0.330856,0.344653,0.886504,203.180544,2.582865
9,0.000961,8,0.325242,0.336114,0.888116,228.578112,2.583225
10,0.000947,8,0.320259,0.332802,0.891194,253.97568,2.589593
11,0.000932,8,0.311232,0.33485,0.891627,279.373248,2.5867
12,0.000914,8,0.311231,0.322273,0.895284,304.770816,2.611453
13,0.000895,8,0.30519,0.313492,0.896627,330.168384,2.575631
14,0.000873,8,0.303391,0.32035,0.89752,355.565952,2.591367
15,0.000851,8,0.299362,0.314124,0.89936,380.96352,2.544821
16,0.000826,8,0.295643,0.31787,0.899998,406.361088,2.572937
17,0.000801,8,0.293576,0.311824,0.900961,431.758656,2.622417
18,0.000773,8,0.288146,0.3096,0.902638,457.156224,2.690321
19,0.000745,8,0.285118,0.311709,0.90226,482.553792,2.615717
20,0.000716,8,0.28555,0.304164,0.904235,507.95136,2.625746
21,0.000686,8,0.281845,0.306257,0.905237,533.348928,2.726858
22,0.000655,8,0.276927,0.304231,0.906313,558.746496,2.578493
23,0.000623,8,0.274544,0.303486,0.906993,584.144064,2.5494
24,0.00059,8,0.272597,0.310207,0.907393,609.541632,2.573683
25,0.000558,8,0.269615,0.301868,0.907341,634.9392,2.607549
26,0.000525,8,0.269035,0.302876,0.907908,660.336768,2.582197
27,0.000492,8,0.26684,0.299501,0.909386,685.734336,2.576999
28,0.000459,8,0.264299,0.301458,0.908956,711.131904,2.562992
29,0.000426,8,0.259733,0.300352,0.910843,736.529472,2.609213
30,0.000393,8,0.260246,0.299187,0.910989,761.92704,2.606111
31,0.000361,8,0.256763,0.298192,0.910622,787.324608,2.537329
32,0.00033,8,0.253613,0.299652,0.911732,812.722176,2.571156
33,0.000299,8,0.252082,0.295844,0.911354,838.119744,2.631085
34,0.000269,8,0.249206,0.296949,0.911707,863.517312,2.564326
35,0.000241,8,0.248895,0.300044,0.9116,888.91488,2.556134
36,0.000213,8,0.247264,0.299716,0.91203,914.312448,2.574942
37,0.000186,8,0.244936,0.300117,0.912264,939.710016,2.58131
38,0.000161,8,0.243171,0.297015,0.912761,965.107584,2.539717
39,0.000138,8,0.243051,0.299264,0.912439,990.505152,2.558827
40,0.000116,8,0.240527,0.298598,0.912542,1015.90272,2.579765
41,9.5e-05,8,0.23972,0.297479,0.91277,1041.300288,2.572406
42,7.7e-05,8,0.239364,0.298436,0.91258,1066.697856,2.599357
43,6e-05,8,0.239269,0.299154,0.912602,1092.095424,2.587573
44,4.5e-05,8,0.238027,0.299979,0.912626,1117.492992,2.545059
45,3.3e-05,8,0.239053,0.300524,0.912511,1142.89056,2.536143
46,2.2e-05,8,0.237918,0.30025,0.912666,1168.288128,2.554874
47,1.3e-05,8,0.239751,0.300554,0.912698,1193.685696,2.569703
48,7e-06,8,0.240534,0.300666,0.912738,1219.083264,2.568949
49,2e-06,8,0.241834,0.30089,0.912738,1244.480832,2.58537
50,0.0,8,0.243437,0.300927,0.912737,1269.8784,2.557641
