round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,10,0.402029,0.691194,0.676982,31.74696,4.984213
2,0.0006,10,0.373862,0.562251,0.722167,63.49392,2.768433
3,0.001,10,0.347262,0.508006,0.814245,95.24088,2.628954
4,0.000999,10,0.312667,0.432446,0.830296,126.98784,2.703667
5,0.000996,10,0.297081,0.476395,0.835835,158.7348,2.62276
6,0.00099,10,0.292953,0.412034,0.846179,190.48176,2.605937
7,0.000983,10,0.283124,0.419962,0.847508,222.22872,2.638725
8,0.000973,10,0.274128,0.41067,0.853441,253.97568,2.680777
9,0.000961,10,0.269711,0.412119,0.85565,285.72264,2.702518
10,0.000947,10,0.268148,0.398273,0.86004,317.4696,2.695395
11,0.000932,10,0.263622,0.386541,0.862339,349.21656,2.75284
12,0.000914,10,0.257069,0.39345,0.864647,380.96352,2.657292
13,0.000895,10,0.255182,0.371179,0.866822,412.71048,2.643032
14,0.000873,10,0.249458,0.376471,0.868286,444.45744,2.64838
15,0.000851,10,0.248661,0.368712,0.869982,476.2044,2.60223
16,0.000826,10,0.243911,0.382897,0.87043,507.95136,2.653321
17,0.000801,10,0.243348,0.366682,0.872097,539.69832,2.716184
18,0.000773,10,0.241604,0.372271,0.873731,571.44528,2.679941
19,0.000745,10,0.241336,0.360394,0.875598,603.19224,2.790476
20,0.000716,10,0.237887,0.362028,0.876236,634.9392,2.752722
21,0.000686,10,0.236917,0.370754,0.877169,666.68616,2.67859
22,0.000655,10,0.23712,0.369308,0.877402,698.43312,2.668699
23,0.000623,10,0.234337,0.366861,0.878502,730.18008,2.695878
24,0.00059,10,0.234612,0.354278,0.880299,761.92704,2.760737
25,0.000558,10,0.229983,0.367219,0.880357,793.674,2.64012
26,0.000525,10,0.232367,0.354908,0.881173,825.42096,2.665057
27,0.000492,10,0.227241,0.356746,0.882109,857.16792,2.620085
28,0.000459,10,0.224523,0.356883,0.882174,888.91488,2.673956
29,0.000426,10,0.224268,0.357125,0.882207,920.66184,2.639671
30,0.000393,10,0.224089,0.360084,0.883525,952.4088,2.654747
31,0.000361,10,0.222138,0.352689,0.884278,984.15576,2.634364
32,0.00033,10,0.222273,0.35533,0.884806,1015.90272,2.749654
33,0.000299,10,0.223604,0.34694,0.885855,1047.64968,2.648763
34,0.000269,10,0.220115,0.356551,0.885807,1079.39664,2.642827
35,0.000241,10,0.222731,0.350615,0.886468,1111.1436,2.670952
36,0.000213,10,0.222194,0.349175,0.887042,1142.89056,2.730236
37,0.000186,10,0.220362,0.351436,0.887121,1174.63752,2.660046
38,0.000161,10,0.221648,0.350498,0.887779,1206.38448,2.627676
39,0.000138,10,0.221711,0.348251,0.887925,1238.13144,2.657076
40,0.000116,10,0.223951,0.347337,0.888556,1269.8784,2.677355
41,9.5e-05,10,0.226141,0.34608,0.888525,1301.62536,2.640224
42,7.7e-05,10,0.229331,0.345332,0.888587,1333.37232,2.651052
43,6e-05,10,0.234722,0.34439,0.888599,1365.11928,2.68505
44,4.5e-05,10,0.238408,0.344674,0.888385,1396.86624,2.748223
45,3.3e-05,10,0.248106,0.344706,0.888113,1428.6132,2.63484
46,2.2e-05,10,0.257907,0.344226,0.88802,1460.36016,2.785146
47,1.3e-05,10,0.270421,0.344428,0.887928,1492.10712,2.642998
48,7e-06,10,0.283796,0.344551,0.887881,1523.85408,2.676117
49,2e-06,10,0.297665,0.344677,0.887834,1555.60104,2.658551
50,0.0,10,0.302712,0.344692,0.887823,1587.348,2.63634
