client,n_records,NORM,MI,STTC,CD,HYP
hospital 1,855,38.95,28.19,26.43,26.32,11.81
hospital 2,855,45.5,27.49,21.64,24.8,11.81
hospital 3,855,43.86,23.51,25.85,23.98,14.15
hospital 4,855,42.22,26.55,25.38,22.69,12.05
hospital 5,854,47.07,26.46,23.54,20.96,10.77
hospital 6,854,42.39,27.52,27.28,22.95,12.65
hospital 7,854,44.03,25.06,26.0,21.08,14.4
hospital 8,854,43.68,27.75,22.25,22.95,13.47
hospital 9,854,44.5,25.88,25.18,23.89,14.17
hospital 10,854,46.72,25.18,22.6,20.96,11.48
hospital 11,854,44.26,23.77,27.4,21.66,11.94
hospital 12,854,44.15,25.18,22.37,24.12,13.7
hospital 13,854,44.73,24.94,25.29,20.73,12.06
hospital 14,854,45.43,26.23,24.24,22.01,13.0
hospital 15,854,45.08,24.0,24.0,22.13,12.76
hospital 16,854,42.27,26.11,25.76,25.64,13.11
hospital 17,854,45.55,26.0,23.54,23.89,12.18
hospital 18,854,45.55,26.35,24.47,23.54,9.95
hospital 19,854,48.95,22.25,21.9,21.08,10.54
hospital 20,854,44.38,24.24,24.94,22.01,12.06
