round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,5,0.495575,0.396922,0.832963,62.8162,8.076907
2,0.0006,5,0.481764,0.470498,0.819145,125.6324,7.345089
3,0.001,5,0.481249,0.415912,0.827354,188.4486,7.391642
4,0.000999,5,0.409992,0.384681,0.846033,251.2648,7.369919
5,0.000996,5,0.390547,0.379484,0.856997,314.081,7.364152
6,0.00099,5,0.377788,0.348679,0.868383,376.8972,7.342766
7,0.000983,5,0.367555,0.344024,0.871977,439.7134,7.33538
8,0.000973,5,0.352946,0.336662,0.879337,502.5296,7.342472
9,0.000961,5,0.349079,0.33422,0.881664,565.3458,7.348032
10,0.000947,5,0.344282,0.325666,0.886116,628.162,7.351989
11,0.000932,5,0.337325,0.327039,0.889143,690.9782,7.352567
12,0.000914,5,0.331422,0.32531,0.892682,753.7944,7.355268
13,0.000895,5,0.328177,0.318292,0.894174,816.6106,7.352439
14,0.000873,5,0.321787,0.310549,0.898023,879.4268,7.353681
15,0.000851,5,0.321571,0.309732,0.900207,942.243,7.346163
16,0.000826,5,0.315416,0.309847,0.901205,1005.0592,7.346679
17,0.000801,5,0.310858,0.30706,0.902936,1067.8754,7.380827
18,0.000773,5,0.309609,0.305004,0.903644,1130.6916,7.32973
19,0.000745,5,0.305308,0.314428,0.904285,1193.5078,7.347763
20,0.000716,5,0.303109,0.309746,0.905695,1256.324,7.352034
21,0.000686,5,0.29943,0.302813,0.906801,1319.1402,7.343257
22,0.000655,5,0.296068,0.302433,0.907539,1381.9564,7.344154
23,0.000623,5,0.295185,0.306892,0.907721,1444.7726,7.339576
24,0.00059,5,0.291713,0.300091,0.910275,1507.5888,7.355166
25,0.000558,5,0.288906,0.296974,0.911134,1570.405,7.343355
26,0.000525,5,0.287275,0.291747,0.912426,1633.2212,7.338579
27,0.000492,5,0.285209,0.29096,0.912786,1696.0374,7.336634
28,0.000459,5,0.281961,0.290677,0.913423,1758.8536,7.36999
29,0.000426,5,0.281295,0.29527,0.911926,1821.6698,7.355509
30,0.000393,5,0.277331,0.293642,0.914333,1884.486,7.347207
31,0.000361,5,0.275213,0.289687,0.915007,1947.3022,7.336353
32,0.00033,5,0.273516,0.287748,0.915092,2010.1184,7.353293
33,0.000299,5,0.269961,0.28788,0.915545,2072.9346,7.348263
34,0.000269,5,0.269814,0.287877,0.915555,2135.7508,7.345993
35,0.000241,5,0.267983,0.286022,0.916144,2198.567,7.356006
36,0.000213,5,0.267766,0.283726,0.916658,2261.3832,7.360524
37,0.000186,5,0.265662,0.285292,0.917019,2324.1994,7.359074
38,0.000161,5,0.263131,0.284993,0.91693,2387.0156,7.360518
39,0.000138,5,0.263072,0.290181,0.916811,2449.8318,7.359748
40,0.000116,5,0.262851,0.286114,0.916848,2512.648,7.35953
41,9.5e-05,5,0.260579,0.285701,0.917478,2575.4642,7.369152
42,7.7e-05,5,0.257762,0.285945,0.917575,2638.2804,7.355327
43,6e-05,5,0.256844,0.284085,0.917776,2701.0966,7.361104
44,4.5e-05,5,0.257629,0.283738,0.918007,2763.9128,7.359433
45,3.3e-05,5,0.257772,0.284588,0.917929,2826.729,7.354973
46,2.2e-05,5,0.256361,0.283312,0.918079,2889.5452,7.365192
47,1.3e-05,5,0.255014,0.283782,0.918016,2952.3614,7.360499
48,7e-06,5,0.255752,0.283568,0.918072,3015.1776,7.347629
49,2e-06,5,0.255237,0.283687,0.918069,3077.9938,7.350103
50,0.0,5,0.257089,0.283696,0.918065,3140.81,7.343967
