round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,4,0.489171,0.43175,0.831015,12.698784,4.625087
2,0.0006,4,0.415033,0.406372,0.851744,25.397568,2.639823
3,0.001,4,0.388129,0.384704,0.864007,38.096352,2.439191
4,0.000999,4,0.355354,0.346626,0.878569,50.795136,2.496044
5,0.000996,4,0.344148,0.347599,0.882303,63.49392,2.639558
6,0.00099,4,0.326787,0.330451,0.887983,76.192704,2.462854
7,0.000983,4,0.32032,0.325896,0.891957,88.891488,2.47451
8,0.000973,4,0.315459,0.326062,0.894056,101.590272,2.499943
9,0.000961,4,0.307479,0.312566,0.898778,114.289056,2.444834
10,0.000947,4,0.302468,0.324752,0.89806,126.98784,2.482278
11,0.000932,4,0.296437,0.313639,0.901584,139.686624,2.52947
12,0.000914,4,0.293515,0.313964,0.902537,152.385408,2.518762
13,0.000895,4,0.289698,0.303856,0.903094,165.084192,2.488499
14,0.000873,4,0.286499,0.306146,0.905117,177.782976,2.426215
15,0.000851,4,0.283322,0.312909,0.90458,190.48176,2.453662
16,0.000826,4,0.279575,0.308376,0.907184,203.180544,2.449776
17,0.000801,4,0.27654,0.300344,0.908441,215.879328,2.449882
18,0.000773,4,0.275121,0.314278,0.908475,228.578112,2.413594
19,0.000745,4,0.270483,0.309303,0.91047,241.276896,2.457142
20,0.000716,4,0.270061,0.306062,0.910227,253.97568,2.451386
21,0.000686,4,0.265654,0.308802,0.911105,266.674464,2.425772
22,0.000655,4,0.263866,0.299717,0.91416,279.373248,2.472582
23,0.000623,4,0.261102,0.30284,0.91342,292.072032,2.453265
24,0.00059,4,0.257721,0.294968,0.913913,304.770816,2.464038
25,0.000558,4,0.254655,0.29096,0.914907,317.4696,2.458279
26,0.000525,4,0.251386,0.295535,0.914937,330.168384,2.468731
27,0.000492,4,0.252492,0.293578,0.916091,342.867168,2.421238
28,0.000459,4,0.249405,0.298764,0.91548,355.565952,2.498392
29,0.000426,4,0.246567,0.296288,0.916529,368.264736,2.564903
30,0.000393,4,0.244198,0.29563,0.917828,380.96352,2.448982
31,0.000361,4,0.241299,0.287966,0.917959,393.662304,2.443123
32,0.00033,4,0.23855,0.293613,0.917103,406.361088,2.468077
33,0.000299,4,0.237819,0.298239,0.917035,419.059872,2.480563
34,0.000269,4,0.234782,0.291131,0.917711,431.758656,2.454101
35,0.000241,4,0.234239,0.289262,0.91816,444.45744,2.440172
36,0.000213,4,0.232097,0.292429,0.917983,457.156224,2.449686
37,0.000186,4,0.230432,0.296079,0.918794,469.855008,2.447605
38,0.000161,4,0.227194,0.29525,0.918774,482.553792,2.425761
39,0.000138,4,0.226905,0.292066,0.918526,495.252576,2.456599
40,0.000116,4,0.22533,0.292987,0.918823,507.95136,2.444602
41,9.5e-05,4,0.224353,0.292662,0.919003,520.650144,2.449764
42,7.7e-05,4,0.222888,0.292782,0.919226,533.348928,2.430019
43,6e-05,4,0.22309,0.291949,0.91942,546.047712,2.426627
44,4.5e-05,4,0.223013,0.293227,0.91916,558.746496,2.446577
45,3.3e-05,4,0.221055,0.29445,0.919045,571.44528,2.437342
46,2.2e-05,4,0.221404,0.295189,0.918914,584.144064,2.436203
47,1.3e-05,4,0.222689,0.295856,0.918836,596.842848,2.50572
48,7e-06,4,0.223829,0.295921,0.91889,609.541632,2.455829
49,2e-06,4,0.225527,0.296135,0.918891,622.240416,2.454923
50,0.0,4,0.228123,0.296148,0.918895,634.9392,2.441716
