round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,8,0.496657,0.452503,0.835095,100.50592,8.52605
2,0.0006,8,0.537996,0.511424,0.79083,201.01184,7.736906
3,0.001,8,0.473225,0.457336,0.830121,301.51776,7.790299
4,0.000999,8,0.412901,0.385204,0.848992,402.02368,7.747583
5,0.000996,8,0.386011,0.391386,0.859501,502.5296,7.778172
6,0.00099,8,0.381891,0.372815,0.866045,603.03552,7.779294
7,0.000983,8,0.368754,0.358669,0.872077,703.54144,7.83242
8,0.000973,8,0.358282,0.366138,0.876916,804.04736,7.890268
9,0.000961,8,0.350596,0.345002,0.880467,904.55328,7.781118
10,0.000947,8,0.345371,0.356401,0.884346,1005.0592,7.726776
11,0.000932,8,0.336245,0.356463,0.885029,1105.56512,7.719924
12,0.000914,8,0.332879,0.334031,0.88851,1206.07104,7.732661
13,0.000895,8,0.328693,0.323331,0.891411,1306.57696,7.736411
14,0.000873,8,0.326196,0.341126,0.892388,1407.08288,7.782331
15,0.000851,8,0.322355,0.324283,0.894287,1507.5888,7.804677
16,0.000826,8,0.3169,0.326285,0.895511,1608.09472,7.797498
17,0.000801,8,0.315624,0.310397,0.897383,1708.60064,7.819122
18,0.000773,8,0.312977,0.321441,0.898377,1809.10656,7.772765
19,0.000745,8,0.309199,0.31674,0.899484,1909.61248,7.806994
20,0.000716,8,0.307482,0.305727,0.900839,2010.1184,7.810216
21,0.000686,8,0.30214,0.313003,0.901745,2110.62432,7.817064
22,0.000655,8,0.300014,0.3226,0.901365,2211.13024,7.753238
23,0.000623,8,0.299546,0.308863,0.903219,2311.63616,7.862543
24,0.00059,8,0.295979,0.316612,0.90457,2412.14208,7.827576
25,0.000558,8,0.29257,0.311158,0.906173,2512.648,7.782074
26,0.000525,8,0.291538,0.305299,0.906683,2613.15392,7.787334
27,0.000492,8,0.29067,0.302135,0.907565,2713.65984,7.79451
28,0.000459,8,0.286668,0.305684,0.90842,2814.16576,7.78611
29,0.000426,8,0.28312,0.302973,0.910248,2914.67168,7.746443
30,0.000393,8,0.279587,0.307797,0.909938,3015.1776,7.7324
31,0.000361,8,0.281234,0.29682,0.91063,3115.68352,7.740376
32,0.00033,8,0.277584,0.300439,0.911348,3216.18944,7.814227
33,0.000299,8,0.273276,0.290167,0.912331,3316.69536,7.745885
34,0.000269,8,0.273846,0.293664,0.913235,3417.20128,7.725627
35,0.000241,8,0.273044,0.29332,0.913439,3517.7072,7.777524
36,0.000213,8,0.269084,0.295634,0.913697,3618.21312,7.852185
37,0.000186,8,0.267995,0.294478,0.914179,3718.71904,7.844394
38,0.000161,8,0.266458,0.29178,0.914796,3819.22496,7.754078
39,0.000138,8,0.266461,0.294649,0.914873,3919.73088,7.893956
40,0.000116,8,0.263261,0.29325,0.914972,4020.2368,7.847105
41,9.5e-05,8,0.262625,0.287968,0.915482,4120.74272,7.857584
42,7.7e-05,8,0.261048,0.290326,0.915536,4221.24864,7.826324
43,6e-05,8,0.2615,0.290336,0.915654,4321.75456,7.751491
44,4.5e-05,8,0.259711,0.292063,0.915862,4422.26048,7.820514
45,3.3e-05,8,0.258405,0.29231,0.915865,4522.7664,7.837627
46,2.2e-05,8,0.259878,0.289001,0.916018,4623.27232,7.820517
47,1.3e-05,8,0.258923,0.290305,0.916064,4723.77824,7.783505
48,7e-06,8,0.260133,0.289154,0.916141,4824.28416,7.83669
49,2e-06,8,0.261607,0.289149,0.916176,4924.79008,7.856007
50,0.0,8,0.263269,0.289126,0.916178,5025.296,7.839087
