round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,10,0.402044,0.687921,0.675664,31.74696,4.816302
2,0.0006,10,0.373372,0.552199,0.729104,63.49392,2.945451
3,0.001,10,0.348908,0.50329,0.799807,95.24088,2.839364
4,0.000999,10,0.311752,0.435049,0.832698,126.98784,2.905123
5,0.000996,10,0.300548,0.428604,0.836744,158.7348,2.907413
6,0.00099,10,0.288942,0.423473,0.845586,190.48176,3.035968
7,0.000983,10,0.28364,0.41099,0.849317,222.22872,2.961127
8,0.000973,10,0.273388,0.404064,0.854285,253.97568,2.941967
9,0.000961,10,0.269095,0.405978,0.856206,285.72264,2.867277
10,0.000947,10,0.267419,0.397796,0.858122,317.4696,2.882756
11,0.000932,10,0.265421,0.393512,0.860525,349.21656,2.847962
12,0.000914,10,0.257736,0.394995,0.863254,380.96352,2.910966
13,0.000895,10,0.256393,0.379284,0.865019,412.71048,3.001661
14,0.000873,10,0.251195,0.375114,0.866579,444.45744,2.869262
15,0.000851,10,0.250973,0.37083,0.867827,476.2044,2.880391
16,0.000826,10,0.246203,0.376361,0.869058,507.95136,2.976052
17,0.000801,10,0.244727,0.371457,0.870422,539.69832,2.851214
18,0.000773,10,0.243078,0.375015,0.87219,571.44528,2.873966
19,0.000745,10,0.243517,0.361921,0.873246,603.19224,2.850849
20,0.000716,10,0.239121,0.364042,0.874212,634.9392,2.895576
21,0.000686,10,0.239186,0.365214,0.875766,666.68616,3.009581
22,0.000655,10,0.2385,0.365738,0.876023,698.43312,2.918343
23,0.000623,10,0.235647,0.36164,0.877665,730.18008,2.876108
24,0.00059,10,0.235941,0.352989,0.879321,761.92704,2.855897
25,0.000558,10,0.230864,0.366572,0.877988,793.674,2.869922
26,0.000525,10,0.233973,0.353287,0.879478,825.42096,2.852316
27,0.000492,10,0.226929,0.358671,0.880071,857.16792,2.864009
28,0.000459,10,0.225902,0.357361,0.880682,888.91488,2.874574
29,0.000426,10,0.224778,0.355539,0.880929,920.66184,2.854915
30,0.000393,10,0.224232,0.357739,0.882173,952.4088,2.84969
31,0.000361,10,0.222745,0.353346,0.882795,984.15576,2.855941
32,0.00033,10,0.222314,0.355689,0.883776,1015.90272,2.862117
33,0.000299,10,0.223617,0.34741,0.884458,1047.64968,2.868682
34,0.000269,10,0.219756,0.359273,0.884327,1079.39664,2.839679
35,0.000241,10,0.222102,0.351504,0.884311,1111.1436,2.847319
36,0.000213,10,0.221563,0.352401,0.885247,1142.89056,2.872894
37,0.000186,10,0.220259,0.353138,0.885294,1174.63752,2.882291
38,0.000161,10,0.221229,0.354478,0.885837,1206.38448,2.847803
39,0.000138,10,0.220728,0.351323,0.886163,1238.13144,2.87435
40,0.000116,10,0.222483,0.35123,0.886851,1269.8784,2.912601
41,9.5e-05,10,0.22418,0.349961,0.887059,1301.62536,2.908734
42,7.7e-05,10,0.226699,0.34932,0.887209,1333.37232,2.864855
43,6e-05,10,0.230932,0.349035,0.887292,1365.11928,2.909075
44,4.5e-05,10,0.234407,0.349706,0.887113,1396.86624,2.884329
45,3.3e-05,10,0.24369,0.349414,0.886849,1428.6132,2.866822
46,2.2e-05,10,0.253819,0.348492,0.88679,1460.36016,2.852461
47,1.3e-05,10,0.266897,0.348746,0.886635,1492.10712,2.865314
48,7e-06,10,0.281245,0.348786,0.886581,1523.85408,2.879026
49,2e-06,10,0.29691,0.348841,0.886532,1555.60104,2.884873
50,0.0,10,0.303084,0.348853,0.886525,1587.348,2.89844
