round,lr,clients,train_loss,val_loss,val_macro_auroc,communication_mb,seconds
1,0.0002,4,0.466491,0.400001,0.846617,50.25296,8.571361
2,0.0006,4,0.487729,0.421005,0.834163,100.50592,7.621297
3,0.001,4,0.419436,0.455913,0.842064,150.75888,7.598773
4,0.000999,4,0.392518,0.385404,0.860644,201.01184,7.616575
5,0.000996,4,0.372214,0.362085,0.871116,251.2648,7.603628
6,0.00099,4,0.354991,0.344741,0.87565,301.51776,7.668883
7,0.000983,4,0.347422,0.338322,0.880374,351.77072,7.586223
8,0.000973,4,0.345227,0.347523,0.883348,402.02368,7.580604
9,0.000961,4,0.333662,0.334611,0.888405,452.27664,7.579449
10,0.000947,4,0.328133,0.328268,0.89078,502.5296,7.578746
11,0.000932,4,0.322941,0.331671,0.894146,552.78256,7.570941
12,0.000914,4,0.320239,0.31603,0.895603,603.03552,7.998728
13,0.000895,4,0.316355,0.30982,0.896949,653.28848,7.722242
14,0.000873,4,0.310597,0.310685,0.899051,703.54144,8.143718
15,0.000851,4,0.308405,0.309243,0.89928,753.7944,7.691773
16,0.000826,4,0.306828,0.310007,0.901277,804.04736,7.769229
17,0.000801,4,0.300162,0.302885,0.902818,854.30032,7.782949
18,0.000773,4,0.301966,0.326293,0.90323,904.55328,7.767045
19,0.000745,4,0.297825,0.31021,0.906502,954.80624,7.700311
20,0.000716,4,0.295752,0.316012,0.905888,1005.0592,7.72294
21,0.000686,4,0.292478,0.309626,0.904334,1055.31216,7.686321
22,0.000655,4,0.288228,0.316673,0.906988,1105.56512,7.6429
23,0.000623,4,0.286815,0.321445,0.908028,1155.81808,7.762535
24,0.00059,4,0.284906,0.298829,0.90966,1206.07104,7.814279
25,0.000558,4,0.282916,0.304363,0.908705,1256.324,7.622904
26,0.000525,4,0.278543,0.300674,0.910242,1306.57696,7.815298
27,0.000492,4,0.279735,0.304902,0.911141,1356.82992,7.68759
28,0.000459,4,0.277081,0.297558,0.91098,1407.08288,7.6837
29,0.000426,4,0.274378,0.301647,0.911084,1457.33584,7.685695
30,0.000393,4,0.271038,0.303079,0.913555,1507.5888,7.645698
31,0.000361,4,0.269021,0.293325,0.913092,1557.84176,7.771035
32,0.00033,4,0.268283,0.297334,0.913285,1608.09472,7.841872
33,0.000299,4,0.265023,0.296306,0.914149,1658.34768,7.790678
34,0.000269,4,0.266723,0.293382,0.914388,1708.60064,7.721311
35,0.000241,4,0.26411,0.287482,0.914857,1758.8536,7.860172
36,0.000213,4,0.262031,0.292499,0.915253,1809.10656,7.821482
37,0.000186,4,0.260811,0.293947,0.915852,1859.35952,7.77778
38,0.000161,4,0.258665,0.292587,0.915948,1909.61248,7.697242
39,0.000138,4,0.257425,0.289306,0.915686,1959.86544,7.644854
40,0.000116,4,0.25699,0.290159,0.916383,2010.1184,7.776608
41,9.5e-05,4,0.254919,0.289634,0.916582,2060.37136,7.885808
42,7.7e-05,4,0.254162,0.288176,0.916765,2110.62432,7.9012
43,6e-05,4,0.253343,0.288188,0.917047,2160.87728,7.718457
44,4.5e-05,4,0.252722,0.287422,0.916985,2211.13024,7.614179
45,3.3e-05,4,0.252191,0.288884,0.916994,2261.3832,7.59147
46,2.2e-05,4,0.250779,0.290419,0.916895,2311.63616,7.657634
47,1.3e-05,4,0.251174,0.288895,0.91709,2361.88912,7.633696
48,7e-06,4,0.252083,0.288445,0.917183,2412.14208,7.585627
49,2e-06,4,0.253957,0.288916,0.917177,2462.39504,7.684155
50,0.0,4,0.255453,0.288948,0.917177,2512.648,7.657674
