device,n_records,NORM,MI,STTC,CD,HYP
CS100    3,5886,30.09,37.46,28.51,24.45,16.14
CS-12,4003,41.34,26.53,23.81,27.93,9.37
AT-6 C 5.5,3921,48.0,20.02,26.88,22.75,15.84
CS-12   E,2865,78.71,7.23,6.35,11.52,2.44
AT-6     6,2252,44.32,22.38,28.95,22.82,13.77
AT-60    3,956,42.26,31.49,23.22,22.07,7.43
AT-6 C 5.8,818,41.2,21.39,31.05,24.69,15.65
AT-6 C,488,24.59,37.5,37.3,30.53,17.83
AT-6 C 5.0,75,28.0,33.33,42.67,24.0,18.67
AT-6 C 5.3,66,57.58,18.18,18.18,21.21,18.18
AT-6 C 5.6,58,56.9,17.24,24.14,18.97,18.97
