site,n_records,NORM,MI,STTC,CD,HYP
0.0,8671,46.03,27.56,21.21,20.24,11.67
1.0,6242,46.17,20.83,28.12,22.7,15.24
2.0,5019,41.48,27.54,23.77,26.8,9.01
3.0,550,27.27,36.18,35.45,28.73,17.45
4.0,100,36.0,28.0,34.0,28.0,21.0
5.0,57,35.09,24.56,35.09,28.07,15.79
6.0,46,47.83,13.04,34.78,19.57,13.04
7.0,43,55.81,16.28,18.6,25.58,11.63
8.0,43,44.19,20.93,20.93,30.23,16.28
9.0,38,39.47,21.05,47.37,13.16,28.95
10.0,36,33.33,19.44,36.11,30.56,16.67
11.0,32,50.0,31.25,21.88,18.75,9.38
12.0,25,32.0,16.0,28.0,36.0,16.0
14.0,25,36.0,20.0,12.0,44.0,16.0
15.0,25,44.0,36.0,32.0,16.0,16.0
13.0,24,62.5,20.83,16.67,8.33,12.5
16.0,22,45.45,13.64,31.82,27.27,18.18
17.0,20,30.0,40.0,20.0,10.0,20.0
21.0,18,55.56,11.11,22.22,16.67,0.0
20.0,18,33.33,38.89,33.33,22.22,11.11
18.0,17,64.71,11.76,11.76,23.53,0.0
,16,62.5,25.0,37.5,18.75,6.25
22.0,15,73.33,13.33,6.67,20.0,0.0
27.0,15,60.0,13.33,33.33,20.0,26.67
29.0,15,66.67,6.67,13.33,0.0,13.33
28.0,15,53.33,20.0,20.0,26.67,6.67
26.0,15,13.33,46.67,46.67,40.0,26.67
19.0,15,26.67,26.67,40.0,33.33,13.33
24.0,14,57.14,28.57,21.43,14.29,21.43
31.0,13,30.77,7.69,46.15,38.46,23.08
32.0,13,30.77,23.08,46.15,30.77,7.69
25.0,13,23.08,38.46,46.15,38.46,15.38
23.0,13,53.85,7.69,7.69,15.38,23.08
30.0,12,50.0,0.0,25.0,41.67,8.33
34.0,12,50.0,16.67,25.0,16.67,16.67
36.0,12,75.0,8.33,0.0,16.67,8.33
35.0,11,54.55,27.27,18.18,27.27,9.09
38.0,10,40.0,30.0,20.0,20.0,30.0
37.0,10,50.0,30.0,20.0,30.0,10.0
33.0,10,40.0,40.0,40.0,40.0,30.0
40.0,9,44.44,33.33,11.11,33.33,11.11
41.0,9,77.78,0.0,33.33,11.11,11.11
39.0,8,25.0,25.0,37.5,50.0,12.5
44.0,7,71.43,0.0,0.0,28.57,0.0
42.0,6,33.33,16.67,33.33,50.0,16.67
43.0,6,66.67,16.67,33.33,16.67,16.67
45.0,6,50.0,0.0,16.67,33.33,16.67
46.0,4,75.0,0.0,0.0,0.0,25.0
47.0,4,75.0,25.0,25.0,0.0,0.0
48.0,4,75.0,25.0,0.0,0.0,0.0
49.0,3,66.67,33.33,33.33,0.0,0.0
50.0,2,50.0,50.0,50.0,0.0,0.0
