superclass,method,segment,n_records,attribution_share,time_share,enrichment
NORM,integrated_gradients,qrs,96,0.3406,0.1261,2.7013
NORM,integrated_gradients,st,96,0.0959,0.1267,0.7568
NORM,integrated_gradients,t,96,0.1319,0.1437,0.9184
NORM,integrated_gradients,other,96,0.4316,0.6036,0.715
NORM,integrated_gradients_random,qrs,96,0.3612,0.1261,2.8646
NORM,integrated_gradients_random,st,96,0.0817,0.1267,0.6448
NORM,integrated_gradients_random,t,96,0.1503,0.1437,1.0462
NORM,integrated_gradients_random,other,96,0.4068,0.6036,0.674
NORM,grad_cam,qrs,96,0.223,0.1261,1.7687
NORM,grad_cam,st,96,0.2688,0.1267,2.1216
NORM,grad_cam,t,96,0.1714,0.1437,1.1933
NORM,grad_cam,other,96,0.3368,0.6036,0.558
NORM,grad_cam_random,qrs,96,0.1661,0.1261,1.3175
NORM,grad_cam_random,st,96,0.1649,0.1267,1.3014
NORM,grad_cam_random,t,96,0.1934,0.1437,1.346
NORM,grad_cam_random,other,96,0.4757,0.6036,0.7881
MI,integrated_gradients,qrs,96,0.344,0.1171,2.9371
MI,integrated_gradients,st,96,0.0939,0.1092,0.8595
MI,integrated_gradients,t,96,0.0905,0.122,0.7422
MI,integrated_gradients,other,96,0.4715,0.6517,0.7236
MI,integrated_gradients_random,qrs,96,0.2991,0.1171,2.5537
MI,integrated_gradients_random,st,96,0.0894,0.1092,0.8186
MI,integrated_gradients_random,t,96,0.1139,0.122,0.9336
MI,integrated_gradients_random,other,96,0.4976,0.6517,0.7636
MI,grad_cam,qrs,96,0.312,0.1171,2.6639
MI,grad_cam,st,96,0.0778,0.1092,0.7126
MI,grad_cam,t,96,0.0724,0.122,0.5935
MI,grad_cam,other,96,0.5377,0.6517,0.8252
MI,grad_cam_random,qrs,96,0.0,0.1171,0.0
MI,grad_cam_random,st,96,0.4609,0.1092,4.2207
MI,grad_cam_random,t,96,0.1141,0.122,0.9349
MI,grad_cam_random,other,96,0.425,0.6517,0.6522
STTC,integrated_gradients,qrs,94,0.2874,0.1267,2.2675
STTC,integrated_gradients,st,94,0.127,0.1053,1.2062
STTC,integrated_gradients,t,94,0.1201,0.1131,1.0613
STTC,integrated_gradients,other,94,0.4655,0.6548,0.7109
STTC,integrated_gradients_random,qrs,94,0.3685,0.1267,2.9073
STTC,integrated_gradients_random,st,94,0.0803,0.1053,0.7622
STTC,integrated_gradients_random,t,94,0.0761,0.1131,0.6729
STTC,integrated_gradients_random,other,94,0.4752,0.6548,0.7256
STTC,grad_cam,qrs,94,0.1195,0.1267,0.9427
STTC,grad_cam,st,94,0.1706,0.1053,1.6204
STTC,grad_cam,t,94,0.1845,0.1131,1.6311
STTC,grad_cam,other,94,0.5254,0.6548,0.8023
STTC,grad_cam_random,qrs,94,0.1386,0.1267,1.0938
STTC,grad_cam_random,st,94,0.1952,0.1053,1.8537
STTC,grad_cam_random,t,94,0.1527,0.1131,1.3497
STTC,grad_cam_random,other,94,0.5135,0.6548,0.7842
CD,integrated_gradients,qrs,93,0.3551,0.1228,2.8912
CD,integrated_gradients,st,93,0.1226,0.1181,1.0376
CD,integrated_gradients,t,93,0.0872,0.1321,0.6604
CD,integrated_gradients,other,93,0.4351,0.627,0.694
CD,integrated_gradients_random,qrs,93,0.2966,0.1228,2.4145
CD,integrated_gradients_random,st,93,0.1034,0.1181,0.875
CD,integrated_gradients_random,t,93,0.1285,0.1321,0.9727
CD,integrated_gradients_random,other,93,0.4716,0.627,0.7522
CD,grad_cam,qrs,93,0.2747,0.1228,2.2362
CD,grad_cam,st,93,0.3313,0.1181,2.8049
CD,grad_cam,t,93,0.0698,0.1321,0.5284
CD,grad_cam,other,93,0.3242,0.627,0.5172
CD,grad_cam_random,qrs,93,0.0603,0.1228,0.4911
CD,grad_cam_random,st,93,0.0084,0.1181,0.0715
CD,grad_cam_random,t,93,0.016,0.1321,0.1215
CD,grad_cam_random,other,93,0.9152,0.627,1.4597
HYP,integrated_gradients,qrs,94,0.2421,0.1029,2.353
HYP,integrated_gradients,st,94,0.0999,0.0956,1.0458
HYP,integrated_gradients,t,94,0.1102,0.12,0.918
HYP,integrated_gradients,other,94,0.5478,0.6815,0.8037
HYP,integrated_gradients_random,qrs,94,0.2783,0.1029,2.7044
HYP,integrated_gradients_random,st,94,0.0761,0.0956,0.7964
HYP,integrated_gradients_random,t,94,0.0826,0.12,0.6884
HYP,integrated_gradients_random,other,94,0.563,0.6815,0.8261
HYP,grad_cam,qrs,94,0.1751,0.1029,1.7016
HYP,grad_cam,st,94,0.125,0.0956,1.3077
HYP,grad_cam,t,94,0.1163,0.12,0.9689
HYP,grad_cam,other,94,0.5837,0.6815,0.8564
HYP,grad_cam_random,qrs,94,0.0382,0.1029,0.3717
HYP,grad_cam_random,st,94,0.0669,0.0956,0.6999
HYP,grad_cam_random,t,94,0.1213,0.12,1.011
HYP,grad_cam_random,other,94,0.7735,0.6815,1.135
