epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.4751,0.3866,0.8564,5.3963
2,0.0004,0.3633,0.3606,0.8736,5.0352
3,0.0008,0.3442,0.3255,0.8867,5.096
4,0.001,0.326,0.3185,0.8936,4.9874
5,0.001,0.313,0.3139,0.9013,4.9717
6,0.001,0.3041,0.3112,0.9005,4.9717
7,0.001,0.2978,0.2992,0.9061,5.0995
8,0.001,0.2969,0.3098,0.9053,5.0403
9,0.001,0.2902,0.3074,0.9064,4.9747
10,0.001,0.2847,0.2983,0.907,4.8951
11,0.0009,0.2824,0.2963,0.9101,4.9868
12,0.0009,0.2802,0.2957,0.9118,5.0098
13,0.0009,0.2766,0.2985,0.9109,5.0848
14,0.0009,0.2719,0.2894,0.9106,5.1392
15,0.0009,0.2707,0.3017,0.9124,5.2451
16,0.0008,0.2693,0.2868,0.9151,5.1257
17,0.0008,0.2669,0.2967,0.9154,4.9623
18,0.0008,0.2636,0.2922,0.9159,4.9559
19,0.0008,0.26,0.2876,0.9186,5.0412
20,0.0007,0.2568,0.2923,0.9153,4.8728
21,0.0007,0.258,0.2942,0.9174,5.0275
22,0.0007,0.256,0.2854,0.9201,5.0192
23,0.0006,0.2519,0.2853,0.9177,5.0458
24,0.0006,0.2503,0.2799,0.92,5.0811
25,0.0006,0.2484,0.2974,0.9202,5.017
26,0.0005,0.2466,0.2888,0.9175,5.0619
27,0.0005,0.2433,0.2858,0.9201,5.1818
28,0.0005,0.2411,0.2972,0.9196,5.1592
29,0.0004,0.2371,0.2863,0.9189,5.0745
30,0.0004,0.2342,0.2867,0.9213,5.0469
31,0.0004,0.234,0.2886,0.9201,5.1808
32,0.0003,0.2292,0.2899,0.9202,5.1613
33,0.0003,0.2274,0.2874,0.9207,5.0121
34,0.0003,0.2236,0.2891,0.9195,5.055
35,0.0003,0.2213,0.2994,0.9204,5.0041
36,0.0002,0.2208,0.2883,0.9215,5.0097
37,0.0002,0.2189,0.2912,0.9217,5.0224
38,0.0002,0.2145,0.2904,0.9212,5.0333
39,0.0001,0.2128,0.2992,0.9221,5.0223
40,0.0001,0.2099,0.2932,0.9218,5.0216
41,0.0001,0.2082,0.293,0.9218,5.0078
42,0.0001,0.2069,0.2971,0.9211,5.026
43,0.0001,0.2047,0.2943,0.9217,4.9673
44,0.0001,0.2056,0.2978,0.9212,4.982
45,0.0,0.2011,0.2992,0.9214,5.0213
46,0.0,0.2025,0.2959,0.9213,5.0164
47,0.0,0.2025,0.2968,0.9212,4.9979
48,0.0,0.2011,0.298,0.9213,5.0277
49,0.0,0.2018,0.2976,0.9213,5.0117
