epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.4618,0.3721,0.865,2.8982
2,0.0004,0.3516,0.335,0.8831,2.5052
3,0.0008,0.3323,0.3195,0.8911,2.4403
4,0.001,0.3115,0.3235,0.8954,2.3545
5,0.001,0.3003,0.3132,0.9035,2.3511
6,0.001,0.2899,0.3084,0.9057,2.3518
7,0.001,0.2852,0.3067,0.9058,2.4304
8,0.001,0.2835,0.3068,0.9099,2.4782
9,0.001,0.2757,0.2997,0.9096,2.5435
10,0.001,0.2707,0.2914,0.9098,2.5105
11,0.0009,0.2674,0.2946,0.9135,2.4101
12,0.0009,0.2658,0.2985,0.9131,2.6999
13,0.0009,0.2622,0.2891,0.9151,2.5137
14,0.0009,0.2572,0.2913,0.9143,2.4066
15,0.0009,0.2543,0.3052,0.914,2.6409
16,0.0008,0.2533,0.2879,0.9152,2.5858
17,0.0008,0.2483,0.2961,0.918,2.8721
18,0.0008,0.248,0.2946,0.9164,2.617
19,0.0008,0.2445,0.2873,0.9193,2.5851
20,0.0007,0.2414,0.2954,0.9164,2.8133
21,0.0007,0.2399,0.297,0.9172,2.4622
22,0.0007,0.2345,0.2942,0.9183,2.3736
23,0.0006,0.2312,0.2937,0.9174,2.5184
24,0.0006,0.2278,0.2935,0.9192,2.6604
25,0.0006,0.2254,0.3047,0.9179,2.3964
26,0.0005,0.2226,0.2901,0.9204,2.4727
27,0.0005,0.2178,0.298,0.919,2.4446
28,0.0005,0.2151,0.3102,0.917,2.5025
29,0.0004,0.211,0.2998,0.9181,2.5355
30,0.0004,0.2083,0.3003,0.9184,2.4551
31,0.0004,0.2044,0.3019,0.9185,2.9036
32,0.0003,0.2009,0.3067,0.9187,2.6277
33,0.0003,0.1957,0.3156,0.9163,2.7614
34,0.0003,0.1919,0.3112,0.9161,2.4048
35,0.0003,0.1869,0.3213,0.9166,2.5814
36,0.0002,0.1833,0.3201,0.9154,2.476
