epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.4409,0.38,0.8724,8.823
2,0.0004,0.353,0.3458,0.8869,7.1786
3,0.0008,0.3361,0.316,0.8955,7.1993
4,0.001,0.3171,0.3175,0.8991,7.2187
5,0.001,0.3059,0.3103,0.9061,7.1774
6,0.001,0.298,0.3122,0.9048,7.2144
7,0.001,0.2914,0.2985,0.9104,7.2236
8,0.001,0.2912,0.3002,0.9122,7.2327
9,0.001,0.2836,0.3075,0.912,7.2182
10,0.001,0.2783,0.2878,0.913,7.2092
11,0.0009,0.2767,0.2891,0.9149,7.2413
12,0.0009,0.2731,0.2892,0.917,7.243
13,0.0009,0.2691,0.2943,0.9164,7.2287
14,0.0009,0.2651,0.2823,0.919,7.2262
15,0.0009,0.2634,0.2986,0.9182,7.2235
16,0.0008,0.2628,0.2855,0.9205,7.2444
17,0.0008,0.26,0.2925,0.9195,7.257
18,0.0008,0.2575,0.2852,0.9208,7.2488
19,0.0008,0.2539,0.2852,0.9205,7.2449
20,0.0007,0.2525,0.285,0.9198,7.2414
21,0.0007,0.2517,0.288,0.9202,7.2509
22,0.0007,0.249,0.2866,0.923,7.2565
23,0.0006,0.2444,0.2836,0.9213,7.2713
24,0.0006,0.2439,0.2806,0.9222,7.2564
25,0.0006,0.2417,0.2945,0.9224,7.3709
26,0.0005,0.2383,0.2773,0.9237,7.2693
27,0.0005,0.2355,0.2877,0.9221,7.2677
28,0.0005,0.234,0.301,0.9233,7.2504
29,0.0004,0.2288,0.2802,0.9208,7.2557
30,0.0004,0.2253,0.2872,0.9228,7.2672
31,0.0004,0.2259,0.2863,0.9244,7.2611
32,0.0003,0.2204,0.2911,0.923,7.2677
33,0.0003,0.2184,0.2875,0.9248,7.2667
34,0.0003,0.2147,0.2843,0.9225,7.2641
35,0.0003,0.2114,0.3006,0.9236,7.2621
36,0.0002,0.2081,0.2888,0.9241,7.253
37,0.0002,0.2052,0.2931,0.9223,7.2472
38,0.0002,0.2009,0.2933,0.9232,7.2475
39,0.0001,0.2005,0.3069,0.9232,7.2641
40,0.0001,0.1959,0.2977,0.9232,7.2594
41,0.0001,0.1936,0.2951,0.9235,7.2527
42,0.0001,0.1914,0.2961,0.9227,7.2623
43,0.0001,0.1874,0.2982,0.9226,7.2596
