epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.1427,0.4456,0.8538,3.2292
2,0.0004,0.0983,0.4165,0.8773,2.3797
3,0.0008,0.0907,0.4033,0.8877,2.3627
4,0.001,0.0846,0.389,0.8943,2.3699
5,0.001,0.0812,0.3946,0.9024,2.3871
6,0.001,0.0782,0.3882,0.9025,2.3724
7,0.001,0.0771,0.3778,0.9073,2.3961
8,0.001,0.0764,0.3566,0.9082,2.3568
9,0.001,0.0744,0.3682,0.9086,2.3685
10,0.001,0.0731,0.3768,0.9101,2.3675
11,0.0009,0.0724,0.368,0.9124,2.3759
12,0.0009,0.0721,0.3665,0.9105,2.4147
13,0.0009,0.0707,0.3713,0.9108,2.3857
14,0.0009,0.0697,0.3555,0.9132,2.3754
15,0.0009,0.0692,0.3521,0.9154,2.3897
16,0.0008,0.0688,0.3531,0.9161,2.3724
17,0.0008,0.0674,0.3567,0.9171,2.3556
18,0.0008,0.067,0.3528,0.9178,2.3608
19,0.0008,0.066,0.3406,0.9184,2.3412
20,0.0007,0.0655,0.3459,0.9176,2.3676
21,0.0007,0.0656,0.3441,0.9177,2.4092
22,0.0007,0.0639,0.352,0.92,2.3706
23,0.0006,0.0632,0.3392,0.9183,2.4066
24,0.0006,0.0622,0.3382,0.918,2.3892
25,0.0006,0.0616,0.3327,0.9195,2.3925
26,0.0005,0.0608,0.3338,0.9192,2.3951
27,0.0005,0.06,0.3423,0.9183,2.354
28,0.0005,0.059,0.3221,0.9175,2.3692
29,0.0004,0.0582,0.3315,0.9188,2.3636
30,0.0004,0.0569,0.3317,0.9173,2.3842
31,0.0004,0.0562,0.3246,0.9183,2.3606
32,0.0003,0.0555,0.3244,0.92,2.536
