epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.8801,0.4376,0.8596,2.9414
2,0.0004,0.6899,0.4136,0.8836,2.4067
3,0.0008,0.6458,0.4105,0.8917,2.4215
4,0.001,0.6089,0.3947,0.8973,2.4548
5,0.001,0.5842,0.3763,0.9047,2.4163
6,0.001,0.5662,0.3658,0.9045,2.3889
7,0.001,0.5565,0.3741,0.9057,2.4298
8,0.001,0.5495,0.3664,0.9079,2.3941
9,0.001,0.5342,0.3426,0.9105,2.3749
10,0.001,0.5271,0.3662,0.9096,2.4027
11,0.0009,0.5216,0.378,0.9147,2.4983
12,0.0009,0.5164,0.35,0.916,2.4314
13,0.0009,0.5053,0.3383,0.9145,2.4485
14,0.0009,0.4969,0.3437,0.9172,2.4591
15,0.0009,0.4912,0.3311,0.9161,2.4084
16,0.0008,0.4881,0.3589,0.9176,2.3912
17,0.0008,0.479,0.3426,0.9206,2.3978
18,0.0008,0.4779,0.3484,0.9195,2.3611
19,0.0008,0.4676,0.3224,0.9211,2.3827
20,0.0007,0.4589,0.3371,0.9176,2.4107
21,0.0007,0.461,0.3302,0.9204,2.4589
22,0.0007,0.4453,0.3527,0.9193,2.4014
23,0.0006,0.4417,0.3444,0.917,2.4021
24,0.0006,0.4328,0.3433,0.9204,2.3921
25,0.0006,0.4262,0.3395,0.9217,2.3918
26,0.0005,0.4216,0.3494,0.9198,2.3925
27,0.0005,0.4098,0.3378,0.9194,2.3954
28,0.0005,0.4066,0.3302,0.919,2.4099
29,0.0004,0.3933,0.3474,0.9175,2.4038
30,0.0004,0.3891,0.3462,0.9172,2.4135
31,0.0004,0.3802,0.3521,0.9174,2.4021
32,0.0003,0.3721,0.3475,0.9174,2.3981
33,0.0003,0.3648,0.3595,0.9181,2.3611
34,0.0003,0.3528,0.3514,0.9145,2.385
35,0.0003,0.3425,0.3526,0.916,2.3925
