epoch,lr,train_loss,val_loss,val_macro_auroc,seconds
1,0.0,0.4247,0.3422,0.8764,6.648
2,0.0004,0.3424,0.337,0.8889,5.9804
3,0.0008,0.3269,0.308,0.8984,5.9598
4,0.001,0.3073,0.3157,0.9014,6.0103
5,0.001,0.2933,0.3134,0.9097,5.8834
6,0.001,0.285,0.2986,0.9072,5.8208
7,0.001,0.2803,0.2942,0.9116,5.7587
8,0.001,0.2779,0.3003,0.9142,5.7827
9,0.001,0.2709,0.2977,0.9153,5.9453
10,0.001,0.2654,0.2896,0.9137,5.9393
11,0.0009,0.2632,0.2879,0.9152,5.9647
12,0.0009,0.2609,0.2888,0.9181,5.8547
13,0.0009,0.2558,0.2887,0.9174,5.9555
14,0.0009,0.251,0.2907,0.9165,5.9232
15,0.0009,0.2487,0.2994,0.9174,5.9354
16,0.0008,0.2468,0.2886,0.9201,5.9158
17,0.0008,0.242,0.2908,0.9196,5.9591
18,0.0008,0.24,0.2921,0.9192,5.8989
19,0.0008,0.2362,0.2897,0.9195,5.9857
20,0.0007,0.2346,0.291,0.918,5.9724
21,0.0007,0.231,0.2961,0.9187,5.9413
22,0.0007,0.2252,0.2878,0.9206,5.9935
23,0.0006,0.2202,0.2984,0.9177,5.9735
24,0.0006,0.2166,0.3055,0.9156,5.9861
25,0.0006,0.2157,0.2997,0.9213,5.883
26,0.0005,0.2098,0.2902,0.9223,6.01
27,0.0005,0.2061,0.3032,0.9183,6.0174
28,0.0005,0.2022,0.3141,0.9181,5.9725
29,0.0004,0.1966,0.3113,0.9174,6.0058
30,0.0004,0.1924,0.3093,0.9173,5.9894
31,0.0004,0.1869,0.3153,0.9182,5.9452
32,0.0003,0.1816,0.3162,0.9177,5.9774
33,0.0003,0.175,0.3262,0.9179,6.777
34,0.0003,0.1689,0.3263,0.9155,7.5304
35,0.0003,0.162,0.3441,0.9159,6.6174
36,0.0002,0.156,0.3406,0.9138,6.8759
